name,description,category,department,eligibilityCriteria,benefits,applicationProcess,requiredDocuments,sourceUrl,incomeLimit,ageLimit,familySizeLimit,stateSpecific,isActive
Jharkhand Krishi Rin Mafi Yojana,"The &amp;quot;Jharkhand Krishi Rin Mafi Yojana&amp;quot; was launched by the Department of Agriculture, Animal Husbandry &amp;amp; Cooperative, Government of Jharkhand on 7th January 2021, to provide relief from the debt burden to short-term agricultural loan holders in the state. Under this scheme, outstanding loan amounts of up to ï¿½ï¿½ï¿½50,000/- in standard crop loan outstanding accounts as of 31st March 2020, will be waived. Standard crop loan borrowers as of 31st March 2020, will be eligible to avail the benefits of this scheme. The main objectives of the scheme are as follows: - To improve the loan eligibility of crop loan holders. - To ensure receipt of new crop loan. - To stop the migration of farming communities. - To strengthen the agricultural economy. Salient features of the scheme: - Details of standard KCC loans covered under Aadhaar card and ration card are being uploaded by the bank on the loan waiver portal. - The scheme will be implemented online through the web portis will minimize contact between the applicant and officials. - Identification of correct beneficiaries using the Aadhaar number of the applicant and paperless application process. - Easy online application process. - The process of receiving applications through the Common Service Centre and Banks so as to provide scheme facilities to the applicants near their homes. - Redressal of grievances of applicants through online mode.",Agriculture,Government of India,"The applicant should be a permanent resident of Jharkhand. 1. The age of the farmer should be more than 18 years. 1. The applicant should be a farmer who self-cultivates their land or cultivates leased land. 1. The applicant should be a small or marginal farmer who has availed of the loan through the Kisan Credit Card. 1. The farmer should have a valid Aadhaar number. 1. The applicant should be a valid ration card holder. 1. The applicant should be a Kisan Credit Card holder. 1. The applicant should be a short-term crop loan holder. 1. The crop loan should be issued by a recognized bank located in Jharkhand. 1. The family of the deceased debtor is also eligible under the scheme. 1. The applicant should have a standard crop loan account. 1. Only one member per family holding a crop loan will be eligible. 1. This scheme will be voluntary for all crop loan holders. Note: The applicant has to pay ï¿½ï¿½ï¿½1/- only for the application. Eligibility for banks, critertermining outstanding loans and deadlines, eligible loan accounts, and exceptions: - Qualified Banks - Commercial Banks, Scheduled Co-operative Banks and Rural Banks - Qualifying Loan - Short-Term Crop Loan - Eligible period for disbursement - Upto 31.03.2020 - Qualifying Loan Account - Single &amp;amp;amp; Joint - Loans taken for crop diseases","Under this scheme, outstanding loan amounts of up to ï¿½ï¿½ï¿½50,000/- in standard crop loan outstanding accounts as of 31st March 2020, will be waived. Note: Repayment of outstanding loan through","Step 1: Visit the &amp;quot;[Jharkhand Krishi Rin Mafi Yojana](https://jkrmy.jharkhand.gov.in/)&amp;quot; official website to apply for scheme benefits. Step 2: On the home page, click on &amp;#39;[Beneficiary Registration](https://jkrmy.jharkhand.gov.in/search)&amp;#39; and then enter your Aadhaar Number. Step 3: Your basic information, such as name and loan amount, will be displayed upon entering your Aadhaar number. Step 4: Enter your ration card number. Step 5: Click on the name under which the loan is registered. Step 6: Review all displayed information carefully and click &amp;quot;Submit&amp;quot;. Step 7: Authenticate your Aadhaar to verify your identity. Step 8: Proceed to make the application fee payment. Step 9: After successful payment, receive a confirmation slip for your application.",Aadhaar Card 1. Passport-size photograph 1. Proof of age 1. Ration card 1. Kisan Credit Card (KCC) 1. Bank account details/bank passbook 1. Other necessary documents if required,https://jkrmy.jharkhand.gov.in/Default,,,,Jharkhand,True
Financial assistance for Marriage for the Construction Worker,"The &amp;quot;Financial Assistance for Marriage for the Construction Workers&amp;quot; by the Building and Other Construction Workers Welfare Board, Labour Department, U.T. Administration of Dadra and Nagar Haveli and Daman and Diu, is a welfare scheme for the registered workers of the board. Under this scheme, the Board will provide financial assistance for marriage of self and for children (upto 2 children) of the building workers. &lt;br&gt;",Social Welfare,Government of India,"&gt; For Registration as a Building/ Construction Worker: - The applicant should be a resident of U.T. Administration of Dadra and Nagar Haveli and Daman and Diu. - The applicant should be a Building/ Construction Worker. - The applicant should be between 18 and 60 years. - The applicant should have engaged in any building or other construction work for at least 90 days in a given year. &gt; For the Application of the Welfare Scheme: - Should be a registered member having six months membership Under the Building and Other Construction Workers Welfare Board of U.T. Administration of Dadra and Nagar Haveli and Daman and Diu Or, - Should be one of the first two children of a registered member of the board.","Marriage of Female registered memberï¿½ï¿½ï¿½51,000/-2.Marriage of Male Registered memberï¿½ï¿½ï¿½35,000/-3.Marriage of Daughter of Registered memberï¿½ï¿½ï¿½51,000/-4.Marriage of Son of Registered membe","&gt; Registration Process as a Building/ Construction Worker: Step 1: Application for registration is to be made in the prescribed form and is to be accompanied by prescribed documents and a fee of not more than ï¿½ï¿½ï¿½50/-. Step 2: Application for registration has to be made to the officer authorized by the Board on this behalf. &gt; Application Process of the Welfare Scheme: Step 1: Any registered worker can make an application in the prescribed [Form-VIII](https://www.daman.nic.in/websites/Printing-press-Daman/documents/2020/Extraordinary/Extra%20Ordinary%20No.%2029.pdf) (Refer Page No: 13) along with the mandatory documents (self attested, if required). Step 2: Application shall be submitted to the Member Secretary (BOCWWB) for this benefit. &gt; Check Beneficiary Details: Visit the [official website](https://bocwddd.in/welfare-schemes/dnh/marriage-assistance) and enter the ï¿½ï¿½ï¿½BOCW Registration No.ï¿½ï¿½ï¿½ of the concerned beneficiary in the Search box. **Helpdeskt: EMAIL ",&gt; For Registration as a Building/ Construction Worker: 1. Photographs of the concerned worker. 1. Attested copy of Proof of Age. 1. Attested copy of Address Proof. 1. Details of the establishment where the applicant is working. 1. Proof regarding Submission of Registration fees. 1. Any other document as required. &gt; For the Application of the Welfare Scheme: 1. Aadhaar No. 1. Copy of Marriage Certificate. 1. Bank Account details.,https://www.daman.nic.in/websites/Printing-press-Daman/documents/2020/Extraordinary/Extra%20Ordinary%20No.%2029.pdf,,,,The Dadra And Nagar Haveli And Daman And Diu,True
Krishak Bakri Palan Yojna,"The Department of Animal Husbandry, Government of Himachal Pradesh has introduced a scheme named &amp;quot;Krishak Bakri Palan Yojna&amp;quot; with the aim to increase income generation opportunities for economically weaker segments of the society as well as to increase meat production. Goat farming is a traditional occupation of economically weaker segments of the society (small and marginal farmers, mainly nomads and landless laborer&amp;#39;s) in Himachal Pradesh. This species is considered to be major source of economic sustenance for these categories of people. Adaptability of goats to wide range of agro climatic conditions has rendered it suitable for poor farmers. Under this scheme it has been proposed to distribute units of 11 goats (10 females +1male), 5 goats (4 females +1 male) and 3 goats (2 females +1 male) of Beetal/Sirohi/Jamanapari/White Himalayan breeds on 60% subsidy. Objectives of this scheme: 1. Increase Income Generation: The scheme aims to enhance income generation opportunities for economically weaker sections through goat farming. 1. Boost Meat Production: By providing high-quality goat breeds, the scheme aims to increase meat production in the state. 1. Support Economically Disadvantaged Families: The scheme offers a 60% subsidy on goat units, making it easier for financially weaker families to start goat farming. 1. Promote Rural Development: Encouraging goat farming contributes to the overall development of rural areas in Himachal Pradesh. 1. Ensure Sustainable Livelihoods: The scheme provides a sustainable livelihood to small farmers and landless laborers, reducing their economic vulnerability.","Agriculture,Rural & Environment, Skills & Employment",Government of India,"Farmers belonging to all categories like general/SC/ST/BPL/Women and Landless persons of Himachal Pradesh are eligible. 1. Training/awareness in skills of goat husbandry is mandatory for all applicants. Concerned Senior Veterinary Officer will provide training to interested persons/applicants. 1. Training/awareness in skills of goat husbandry is mandatory for all applicants. Concerned Senior Veterinary Officer will provide training to interested persons/applicants. The preference will be given to: 1. Unemployed SC, ST, Women and General category persons. At least 30 percent beneficiaries should be women. 1. Families where no member is in Government job. 1. Persons with annual income not exceeding 2 lakh per annum. 1. Persons/farmers who have built their own goat sheds or built under MGNREGA.","Financial Assistance: Farmers receive goat units on a 60% subsidy, significantly reducing the initial investment required for goat farming.1. Improved Livelihoods: The scheme helps improve the livelihoods of small farmers by providing a steady source of income through goat farming.1. Increased Meat Production: By distributing high-quality goat breeds, the scheme boosts meat production in the state, contributing to the local economy.1. Sustainable Farming Practices: The scheme promotes sustainable farming practices, ensuring long-term economic benefits for farmers.1. Empowerment of Marginalized Communities: By targeting economically weaker sections, the scheme empowers marginalized communities, promoting social and economic inclusion.","1. Visit the official [website](https://hpahdbt.hp.gov.in/Home/krishk_bakri_pala_yojna) of the Department of Animal Husbandry. 1. On reading the detailed guidelines, if the eligibility criteria meets, the applicant may scroll down the page and click on the checkbox &amp;quot;I am agree with the terms &amp;amp; Conditions&amp;quot; and then click &amp;quot;Apply Now&amp;quot; button. 1. On clicking, online [application form](https://hpahdbt.hp.gov.in/Home/registrationformbakripalan) will open. 1. The applicant fills the complete form by uploading the required documents and click submit.","The copy of following documents may be required at the time of filling of online application form: 1. Bank Passbook 1. Income Certificate 1. Unemployment Certificate 1. BPL Certificate 1. Training Certificate 1. Cast Certificate (if SC, ST))",https://hpahdbt.hp.gov.in/Home/krishk_bakri_pala_yojna,,,,Himachal Pradesh,True
Bharati Scheme for Education - 6th Class to 10th Class,"Andhra Pradesh Brahmin Welfare Corporation (ABC) launched the ï¿½ï¿½ï¿½Bharati Scheme for Education - 6th Class to 10th Class&quot; for the academic year to encourage Brahmin students of Andhra Pradesh to continue their education. Under this scheme, eligible poor Brahmin student applicants will receive financial assistance for the academic year. This scheme is applicable for the Brahmin students of Andhra Pradesh covering all 13 distri","Education & Learning, Women And Child",Government of India,"The student and his/her parents should belong to the Brahmin community. 1. The student should be studying in Andhra Pradesh. 1. The student&#39;s parents/guardians should reside in Andhra Pradesh. 1. The annual family income of parents/guardians should not exceed ï¿½ï¿½ï¿½3,00,000/-. 1. The student under the category of orphan, differently abled (physically handicapped), or children of single parents&#39; priority will be given. 1. The student should be enrolled in the Praja Sadhikara Survey (PSS). 1. The student should not have availed himself/ herself of any amount under any other government scheme for the same purpose. However, students benefitting from Archaka Welfare Trust are eligible under this sche","- Financial Assistance for the 6th Class to 10th **Class: ï¿½ï¿½ï¿½7,000","> Registration Step-01: Applicants have to visit the [official website](https://www.andhrabrahmin.ap.gov.in/) and click on [Scheme](https://www.andhrabrahmin.ap.gov.in/schemes/schemes.aspx#). Step-02: Click on &quot;Registration&quot; under the concerned scheme name. Step-03: Fill out the application form with required details like: - Personal Details: Name, Residence address, Aadhaar no, Ration card no, Bank detail etc - Upload: Photo, Signature and Certificate Details - Documents: Birth Certificate, Residential Certificate, Aadhaar Card, Caste Certificate, Bank Passbook etc - Finalize and &quot;Submit&quot; the application. Step-04: Receive the reference number after the submission. > Check Application Status: Step-01: Click on the ï¿½ï¿½ï¿½Servicesï¿½ï¿½ï¿½ link on the menu and select &quot;[Know your status](https://www.andhrabrahmin.ap.gov.in/eSchemes/know_stat.aspx)&quot;. Step-02: Enter the Reference or Mobile or Aadhaar Card Number to get the applic. Step-03: Select the &quot;F",- Aadhar Card of the Student &amp; Parents (with address in Andhra Pradesh). - White Ration Card / Income Certificate Number (issued by Mee Seva). - Caste Certificate (issued by MeeSeva). - Residence Certificate (issued by MeeSeva). - Birth Certificate (issued by MeeSeva). - Study Certificate from the School. - SB Account Passbook in the name of the Applicant. NOTE: The account should be in Andhra Bank or SBI Bank).,https://www.andhrabrahmin.ap.gov.in/down/bharathi2019.pdf,,,,Andhra Pradesh,True
Bharati Scheme for Education Professional Education Course - Chartered Accountancy Final,"Andhra Pradesh Brahmin Welfare Corporation (ABC) launched the &quot;Bharati Scheme for Education Professional Education Course - Chartered Accountancy Final&quot; for the academic year to encourage Brahmin students of Andhra Pradesh to continue their education. Under this scheme, eligible poor Brahmin student applicants will receive financial assistance for the academic year. This scheme applies to the Brahmin students of Andhra Pradesh covering all 13 districts.",Education,Government of India,"The student and his/her parents should belong to the Brahmin community. 1. The student&#39;s parents should stay in Andhra Pradesh. 1. The annual family income of parents/guardians should not exceed ï¿½ï¿½ï¿½3,00,000/-. 1. The student should have cleared both groups of CA-Inter (IPCC) after 2014 and registered and paid fees for CA final exam. 1. The student should not have benefitted from Andhra Pradesh Brahmin Welfare Corporation (APBWC) for the same exam (CA Final) earlier. 1. The student should be enrolled in the Praja Sadhikara Survey (PS","- **Financial Assistance for the Professional Education Course (Chartered Accountancy Final): ï¿½ï¿½ï¿½20,000/","> Registration Step-01: Applicants have to visit the [official website](https://www.andhrabrahmin.ap.gov.in/) and click on [Scheme](https://www.andhrabrahmin.ap.gov.in/schemes/schemes.aspx#). Step-02: Click on &quot;Registration&quot; under the concerned scheme name. Step-03: Fill out the application form with required details like: - Personal Details: Name, Residence address, Aadhaar no, Ration card no, Bank detail etc - Upload: Photo, Signature and Certificate Details - Documents: Birth Certificate, Residential Certificate, Aadhaar Card, Caste Certificate, Bank Passbook etc - Finalize and &quot;Submit&quot; the application. Step-04: Receive the reference number after the submission. > Check Application Status: Step-01: Click on the ï¿½ï¿½ï¿½Servicesï¿½ï¿½ï¿½ link on the menu and select &quot;[Know your status](https://www.andhrabrahmin.ap.gov.in/eSchemes/know_stat.aspx)&quot;. Step-02: Enter the Reference or Mobile or Aadhaar Card Number to get the applic. Step-03: Select the &quot;F",- Aadhaar Card of the Student &amp; Parents (with address in Andhra Pradesh). - White Ration Card / Income Certificate Number (issued by Mee Seva). - Caste Certificate (issued by MeeSeva). - Residence Certificate (issued by MeeSeva). - Birth Certificate (issued by MeeSeva). - Marks Sheet of SSC. - Proof of clearance of IPCC (both groups). - Proof of registration and fees paid for the CA Final exam. - Andhra Bank/ SBI Passbook in the name of Student. NOTE: For students studying outside A.P. account in any Nationalized Bank is acceptable.,https://www.andhrabrahmin.ap.gov.in/down/bharathi2019.pdf,,,,Andhra Pradesh,True
Bharati Scheme for Masterï¿½ï¿½ï¿½s Degree Ov,"Andhra Pradesh Brahmin Welfare Corporation (ABC), a Government of Andhra Pradesh undertaking, is introducing the ï¿½ï¿½ï¿½Bharati Scheme for Masterï¿½ï¿½ï¿½s Degree Overseasï¿½ï¿½ï¿½ (BS-MDO) for the year 2019-20, for the Brahmin students of Andhra Pradesh. Under this scheme, a specified amount shall be released to the selected applicants, as one-time financial assistance. This scheme is applicable to students of Andhra Pradesh covering",Education,Government of India,"The student and his/her parents should belong to the Brahmin community. 1. The student&#39;s parents should reside in Andhra Pradesh. 1. The annual income of parents/guardians should not exceed ï¿½ï¿½ï¿½6,00,000/-. 1. The student should have been admitted in any master&#39;s degree course overseas (at least 12 months duration) in a reputed institution, during the years 2019-20 Or should be pursuing the final year of the PEC course overseas, in collaboration with the Indian university/institute. 1. The student who has already availed benefit earlier will not be eligible. 1. The student should not have availed himself/ herself of any amount from any other government scheme for the same purpo","- Any course being pursued abroad with a duration of 11 to 18 months: ï¿½ï¿½ï¿½5,00,000/-. - Masterï¿½ï¿½ï¿½s Degree Programme being pursued abroad with a minimum of 18 months duration: ï¿½ï¿","> Registration Step-01: Applicants have to visit the [official website](https://www.andhrabrahmin.ap.gov.in/) and click on [Scheme](https://www.andhrabrahmin.ap.gov.in/schemes/schemes.aspx#). Step-02: Click on &quot;Registration&quot; under the concerned scheme name. Step-03: Fill out the application form with required details like: - Personal Details: Name, Residence address, Aadhaar no, Ration card no, Bank detail etc - Upload: Photo, Signature and Certificate Details - Documents: Birth Certificate, Residential Certificate, Aadhaar Card, Caste Certificate, Bank Passbook etc - Finalize and &quot;Submit&quot; the application. Step-04: Receive the reference number after the submission. > Check Application Status: Step-01: Click on the ï¿½ï¿½ï¿½Servicesï¿½ï¿½ï¿½ link on the menu and select &quot;[Know your status](https://www.andhrabrahmin.ap.gov.in/eSchemes/know_stat.aspx)&quot;. Step-02: Enter the Reference or Mobile or Aadhaar Card Number to get the applic. Step-03: Select the &quot;F","- Aadhaar Cards of the Student. - Caste Certificate of the Student. - Income certificate (issued by MeeSeva). - Senior Secondary Certificate and Qualifying Degree Certificate. - SB Account Passbook in Andhra Bank or State Bank of India (account must be in the name of applicant). - Passport-size Photograph (in jpeg format of maximum 50 kb). - Proof of Admission and Fees paid into any Masterï¿½ï¿½ï¿½s Degree Course Overseas in any reputed institution Or Proof of Collaboration Letter between the two universities/ institutes, in case of Final year PEC course abroad. - Passport, VISA, Air Ticket, and Form ï¿½ï¿½ï¿½i20 or equivalent i",https://www.andhrabrahmin.ap.gov.in/down/overseast2020.pdf,,,,Andhra Pradesh,True
Bharati Scheme for Education - Intermediate or Equivalent,"Andhra Pradesh Brahmin Welfare Corporation (ABC) launched the &quot;Bharati Scheme for Education - Intermediate or Equivalent (ITI, Polytechnic, D.Ed, TTC, D.Pharmacy, etc.)&quot; for the academic year to encourage Brahmin students of Andhra Pradesh to continue their education. Under this scheme, eligible poor Brahmin student applicants will receive financial assistance for the academic year. This scheme applies to the Brahmin students of Andhra Pradesh covering all 13 districts.","Education & Learning, Women And Child",Government of India,"The student and his/her parents should belong to the Brahmin community. 1. The student should be studying in Andhra Pradesh. 1. The student&#39;s parents/guardians should stay in Andhra Pradesh. 1. The annual family income of parents/guardians should not exceed ï¿½ï¿½ï¿½3,00,000/-. 1. The student should be studying in any recognized and reputed college for the academic year in Andhra Pradesh. 1. The student should have cleared all the subjects of the previous year. 1. The student should be enrolled in the Praja Sadhikara Survey (PSS). 1. The student should not have availed himself/ herself of any amount under any other government scheme for the same purpose. However, students availing benefit from Archaka Welfare Trust are eligible under this sche","- **Financial Assistance for the Intermediate or Equivalent (ITI, Polytechnic, D.Ed, TTC, D.Pharmacy, etc) : ï¿½ï¿½ï¿½10,000/","> Registration Step-01: Applicants have to visit the [official website](https://www.andhrabrahmin.ap.gov.in/) and click on [Scheme](https://www.andhrabrahmin.ap.gov.in/schemes/schemes.aspx#). Step-02: Click on &quot;Registration&quot; under the concerned scheme name. Step-03: Fill out the application form with required details like: - Personal Details: Name, Residence address, Aadhaar no, Ration card no, Bank detail etc - Upload: Photo, Signature and Certificate Details - Documents: Birth Certificate, Residential Certificate, Aadhaar Card, Caste Certificate, Bank Passbook etc - Finalize and &quot;Submit&quot; the application. Step-04: Receive the reference number after the submission. > Check Application Status: Step-01: Click on the ï¿½ï¿½ï¿½Servicesï¿½ï¿½ï¿½ link on the menu and select &quot;[Know your status](https://www.andhrabrahmin.ap.gov.in/eSchemes/know_stat.aspx)&quot;. Step-02: Enter the Reference or Mobile or Aadhaar Card Number to get the applic. Step-03: Select the &quot;F",- Aadhar Card of the Student &amp; Parents (with address in Andhra Pradesh). - White Ration Card / Income Certificate Number (issued by Mee Seva). - Caste Certificate (issued by MeeSeva). - Residence Certificate (issued by MeeSeva). - Birth Certificate (issued by MeeSeva). - Study Certificate (from the College / Institute for the academic year). - Marks Sheets of all the Previous Years (starting from the senior secondary certificate). - SB Account Passbook in the name of the applicant (Account should be in Andhra Bank or SBI).,https://www.andhrabrahmin.ap.gov.in/down/bharathi2019.pdf,,,,Andhra Pradesh,True
Swami Vivekananda Post-Matric Scholarship Scheme (Class 11th & 12th),"The scheme &amp;quot;Swami Vivekananda Post-Matric Scholarship Scheme&amp;quot; was launched by the School Education Department, Government of Madhya Pradesh, to motivate students from the lower economic backgrounds and support them economically. Under this scheme, scholarships are provided to students studying in Class 11 and Class 12 in government schools, whose annual family income is less than ï¿½ï¿½ï¿½1,00,000/- and who belong to the Below Poverty Line (BPL) cate",Education,Government of India,"The applicant should be a resident of Madhya Pradesh. 1. The applicant should be studying in Class 11 or Class 12. 1. The student should be enrolled in a government school. 1. Students studying in Class 11 must have passed their 10th board examination with a first division, and students studying in Class 12 must have passed their Class 11 examination with a first division to be eligible for this scholarship. 1. The applicant should belong to the Below Poverty Line (BPL) category. 1. The applicant&amp;#39;s parents&amp;#39; income from all sources should be less than ï¿½ï¿½ï¿½1,00,000/- per y","- Under this scheme, the girl student will get a scholarship of ï¿½ï¿½ï¿½550/- per year and boy student will get a scholarship of ï¿½ï¿½ï¿½500/- per year. Note: The scholarship is sent directly to the student&amp;#39;s ba","To avail of the benefits under this scheme, eligible students can contact the Principal of their respective government schools/institutions. Note: The student&amp;#39;s profile is entered on the education portal [https://shikshaportal.mp.gov.in/](https://shikshaportal.mp.gov.in/) by the teacher of the educational institution as per the record/certificate provided by the student.",Passport-size Photo 2. Aadhaar card 3. Domicile certificate of Madhya Pradesh 4. BPL category certificate/Ration card 5. Previous class marksheet 6. Income certificate 7. Samagra ID 8. Bank Passbook 9. Any other documents as required,https://cmhelpline.mp.gov.in/KnowYourEntitleDetail.aspx?Schemeid=423,,,,Madhya Pradesh,True
Marriage Grant to Orphan Daughter of Ex-Servicemen,"The &amp;quot;Marriage Grant to Orphan Daughter of Ex-Servicemen&amp;quot; scheme is implemented by the Sainik and Ardh Sainik Welfare Department, Government of Haryana. Under this scheme, financial assistance of ï¿½ï¿½ï¿½51,000/- is provided for the marriage of each dependent orphan daughter of an ex-serviceman, for up to two daughters, who are at least 18 years","Social Welfare & Empowerment, Women And Child",Government of India,The applicant should be a bona fide resident of Haryana. 1. The applicant should be a dependent orphan daughter of an ex-serviceman. 1. The orphan daughter should be at least 18 years old. 1. Assistance is available for up to two orphan daughters of an ex-serviceman.,"Financial assistance of ï¿½ï¿½ï¿½51,000/ï¿½ï¿½ï¿½ is given for the marriage of orphan daughters of ex-","> Registration Process on Antyodaya-SARAL Portal: Step 1: The eligible applicant may apply online through the Official Portal- [Antyodaya-SARAL Portal](https://saralharyana.gov.in/). Step 2: If the applicant is not registered on the portal, he/she gets registered there. Step 3: For registration, click ï¿½ï¿½ï¿½[New User](https://saralharyana.gov.in/citizenRegistration.html)ï¿½ï¿½ï¿½ under ï¿½ï¿½ï¿½Sign In Hereï¿½ï¿½ï¿½ and fill in all the mandatory details i.e. Name, Email ID, Mobile Number, Password &amp;amp; State. Click on ï¿½ï¿½ï¿½Submitï¿½ï¿½ï¿½. Step 4: Verify your mobile number and email ID through the received OTP and complete the registration process. &gt; Login to apply for the scheme: Step 1: To avail the benefits of the scheme, visit the Official [Antyodaya-SARAL Portal](https://saralharyana.gov.in/) and log in through the email ID used while registering. Step 2: Enter Password &amp;amp; Captcha and click on ï¿½ï¿½ï¿½Loginï¿½ï¿½ï¿½. Step 3: After successful n ï¿½ï¿½ï¿½View ",- Copy of Identity Card of Ex-serviceman - Parivar Pehchan Patra - Original Discharge Book of Ex-serviceman (Complete) - Domicile Certificate of Haryana - Copy of Bank Passbook linked with Aadhaar Card - Applicantï¿½ï¿½ï¿½s Photo ID Proof (Ration Card/Driving Licence/ Voter ID Card/PAN Card etc.) - P.P.O - Aadhaar Card - Age Proof- Matric Exam Certificate for Date of Birth verification (attested) - Wedding Card - Death certificate of Mother and Father - Any other documents as requ,https://kms.saralharyana.nic.in/ViewDoc?Id=5rjEKrm37i3Fi7C4ijB56w%3d%3d,,,,Haryana,True
Ex-gratia for Death for the Construction Workers,"The &amp;quot;Ex-gratia for Death for the Construction Workers&amp;quot; by the Building and Other Construction Workers Welfare Board, Labour Department, U.T. Administration of Dadra and Nagar Haveli and Daman and Diu, is a welfare scheme for the registered workers of the board. Under this scheme, the Board will provide financial assistance to the nominees/ dependents in case of death of a registered member in the course of employment or due to any other reason.",Social Welfare,Government of India,&gt; For Registration as a Building/ Construction Worker: - The applicant should be a resident of U.T. Administration of Dadra and Nagar Haveli and Daman and Diu. - The applicant should be a Building/ Construction Worker. - The applicant should be between 18 and 60 years. - The applicant should have engaged in any building or other construction work for at least 90 days in a given year. &gt; For the Application of the Welfare Scheme: - The applicant should be a nominee/dependent of a deceased registered member Under the Building and Other Construction Workers Welfare Board of U.T. Administration of Dadra and Nagar Haveli and Daman and Diu. - The member should have lost their life due to death during the course of the employment or due to any reason.,"- For death in the course of employment: ï¿½ï¿½ï¿½4,00,000/-.- For death due to any other reason: ï¿½ï¿½ï¿½","&gt; Registration Process as a Building/ Construction Worker: Step 1: Application for registration is to be made in the prescribed form and is to be accompanied by prescribed documents and a fee of not more than ï¿½ï¿½ï¿½50/-. Step 2: Application for registration has to be made to the officer authorized by the Board on this behalf. &gt; Application Process of the Welfare Scheme: Step 1: Any registered worker can make an application in the prescribed [Form-XI](https://www.daman.nic.in/websites/Printing-press-Daman/documents/2020/Extraordinary/Extra%20Ordinary%20No.%2029.pdf) (Refer Page No: 16) along with the mandatory documents (self attested, if required). Step 2: Application shall be submitted to the Member Secretary (BOCWWB) for this benefit. &gt; Check Beneficiary Details: Visit the [official website](https://bocwddd.in/welfare-schemes/dnh/payment-of-death-benefit) and enter the ï¿½ï¿½ï¿½BOCW Registration No.ï¿½ï¿½ï¿½ of the concerned beneficiary in the Search box. **Helpdment: EMA",&gt; For Registration as a Building/ Construction Worker: 1. Photographs of the concerned worker. 1. Attested copy of Proof of Age. 1. Attested copy of Address Proof. 1. Details of the establishment where the applicant is working. 1. Proof regarding Submission of Registration fees. 1. Any other document as required. &gt; For the Application of the Welfare Scheme: 1. Death Certificate (to be issued by a Government Doctor/ Registered Medical Practitioner not below the rank of Medical Officer). 1. Applicant ID Proof. 1. Dependent/ Heirship Certificate (issued by Competent Authority).,https://www.daman.nic.in/websites/Printing-press-Daman/documents/2020/Extraordinary/Extra%20Ordinary%20No.%2029.pdf,,,,The Dadra And Nagar Haveli And Daman And Diu,True
